gene_symbol,chromosome,sex-bias,tissue
GPR12,13,F,Breast
KLF5,13,F,Breast
NALCN,13,F,Breast
OLFM4,13,F,Breast
TNFRSF19,13,F,Breast
BEGAIN,14,F,Breast
NKX2-8,14,F,Breast
OR11H6,14,F,Breast
PLD4,14,F,Breast
PLEK2,14,F,Breast
SLC39A2,14,F,Breast
C15orf52,15,F,Breast
CKMT1A,15,F,Breast
CKMT1B,15,F,Breast
CRABP1,15,F,Breast
FRMD5,15,F,Breast
GRAMD2,15,F,Breast
HAPLN3,15,F,Breast
SCG5,15,F,Breast
ST8SIA2,15,F,Breast
STRA6,15,F,Breast
SYNM,15,F,Breast
ADGRG5,16,F,Breast
CCL22,16,F,Breast
CDH3,16,F,Breast
CNGB1,16,F,Breast
CX3CL1,16,F,Breast
FAM92B,16,F,Breast
FBXL19,16,F,Breast
HAS3,16,F,Breast
HS3ST4,16,F,Breast
IL34,16,F,Breast
PRSS21,16,F,Breast
SALL1,16,F,Breast
SCNN1G,16,F,Breast
TNFRSF17,16,F,Breast
TVP23A,16,F,Breast
ABCC3,17,F,Breast
ADORA2B,17,F,Breast
ATP2A3,17,F,Breast
CACNB1,17,F,Breast
DNAH2,17,F,Breast
ETV4,17,F,Breast
HEATR9,17,F,Breast
IKZF3,17,F,Breast
ITGB4,17,F,Breast
KRT15,17,F,Breast
KRT17,17,F,Breast
MYH13,17,F,Breast
PLXDC1,17,F,Breast
SLC13A2,17,F,Breast
SLC47A2,17,F,Breast
SLFN13,17,F,Breast
SOX9,17,F,Breast
SP6,17,F,Breast
STAC2,17,F,Breast
TBX21,17,F,Breast
TNFRSF13B,17,F,Breast
TNS4,17,F,Breast
UTS2R,17,F,Breast
ZNF750,17,F,Breast
CHST9,18,F,Breast
DSC1,18,F,Breast
DSC2,18,F,Breast
DSC3,18,F,Breast
DSG1,18,F,Breast
DSG3,18,F,Breast
GRP,18,F,Breast
PSTPIP2,18,F,Breast
RNF165,18,F,Breast
SERPINB5,18,F,Breast
B3GNT3,19,F,Breast
BRSK1,19,F,Breast
CCDC8,19,F,Breast
CD79A,19,F,Breast
CELF5,19,F,Breast
CNN1,19,F,Breast
COX6B2,19,F,Breast
CXCL17,19,F,Breast
DMKN,19,F,Breast
FBN3,19,F,Breast
FUT3,19,F,Breast
FUT6,19,F,Breast
HSH2D,19,F,Breast
ICAM5,19,F,Breast
JSRP1,19,F,Breast
KCNN4,19,F,Breast
KLC3,19,F,Breast
KLK6,19,F,Breast
KLK8,19,F,Breast
LMTK3,19,F,Breast
MUC16,19,F,Breast
NCCRP1,19,F,Breast
NKPD1,19,F,Breast
NLRP11,19,F,Breast
NLRP7,19,F,Breast
NRTN,19,F,Breast
PALM3,19,F,Breast
PLPP2,19,F,Breast
PNMAL1,19,F,Breast
PODNL1,19,F,Breast
PSG4,19,F,Breast
SH2D3A,19,F,Breast
SPIB,19,F,Breast
TDRD12,19,F,Breast
THEG,19,F,Breast
TTYH1,19,F,Breast
APCDD1L,20,F,Breast
BPI,20,F,Breast
CDH22,20,F,Breast
EDN3,20,F,Breast
EYA2,20,F,Breast
FERMT1,20,F,Breast
PAK7,20,F,Breast
PI3,20,F,Breast
PTPRT,20,F,Breast
SIRPG,20,F,Breast
SLPI,20,F,Breast
TFAP2C,20,F,Breast
VSX1,20,F,Breast
ZBP1,20,F,Breast
B3GALT5,21,F,Breast
CLDN8,21,F,Breast
CXADR,21,F,Breast
RIPK4,21,F,Breast
TMPRSS3,21,F,Breast
UBASH3A,21,F,Breast
APOBEC3H,22,F,Breast
DERL3,22,F,Breast
IGLL5,22,F,Breast
KLHDC7B,22,F,Breast
MEI1,22,F,Breast
RASL10A,22,F,Breast
SLC5A1,22,F,Breast
SOX10,22,F,Breast
SULT4A1,22,F,Breast
TMEM211,22,F,Breast
TMPRSS6,22,F,Breast
TNFRSF13C,22,F,Breast
CD40LG,X,F,Breast
CXCR3,X,F,Breast
FRMPD3,X,F,Breast
GPR174,X,F,Breast
KLHL13,X,F,Breast
NUP62CL,X,F,Breast
P2RY10,X,F,Breast
PCYT1B,X,F,Breast
PIM2,X,F,Breast
PTCHD1,X,F,Breast
SLC6A14,X,F,Breast
SLC7A3,X,F,Breast
TCEAL5,X,F,Breast
TEX11,X,F,Breast
VGLL1,X,F,Breast
DPT,1,M,Breast
SERPINC1,1,M,Breast
ACADL,2,M,Breast
CCDC85A,2,M,Breast
GALNT13,2,M,Breast
SIX2,2,M,Breast
AADAC,3,M,Breast
TRH,3,M,Breast
NPY2R,4,M,Breast
FGF10,5,M,Breast
PRR16,5,M,Breast
RASGRF2,5,M,Breast
RHOBTB3,5,M,Breast
SLC36A2,5,M,Breast
CNR1,6,M,Breast
SLC35F1,6,M,Breast
SNX10,7,M,Breast
PLAG1,8,M,Breast
DMRTA1,9,M,Breast
SLC1A1,9,M,Breast
KIAA1462,10,M,Breast
PANK1,10,M,Breast
PAPSS2,10,M,Breast
KCNE3,11,M,Breast
MS4A14,11,M,Breast
MS4A7,11,M,Breast
PDE2A,11,M,Breast
ANO4,12,M,Breast
AVPR1A,12,M,Breast
GSG1,12,M,Breast
LMO3,12,M,Breast
TMEM132B,12,M,Breast
TRHDE,12,M,Breast
ACOT4,14,M,Breast
CNTNAP4,16,M,Breast
NQO1,16,M,Breast
HOXB7,17,M,Breast
HOXB8,17,M,Breast
SHISA6,17,M,Breast
GREB1L,18,M,Breast
HIF3A,19,M,Breast
CLIC6,21,M,Breast
CECR2,22,M,Breast
SLITRK4,X,M,Breast
DDX3Y,Y,M,Breast
EIF1AY,Y,M,Breast
KDM5D,Y,M,Breast
NLGN4Y,Y,M,Breast
PCDH11Y,Y,M,Breast
RPS4Y1,Y,M,Breast
TBL1Y,Y,M,Breast
TMSB4Y,Y,M,Breast
USP9Y,Y,M,Breast
UTY,Y,M,Breast
ZFY,Y,M,Breast
DDX3Y,Y,M,Caudate
EIF1AY,Y,M,Caudate
KDM5D,Y,M,Caudate
NLGN4Y,Y,M,Caudate
PCDH11Y,Y,M,Caudate
RPS4Y1,Y,M,Caudate
TBL1Y,Y,M,Caudate
TMSB4Y,Y,M,Caudate
USP9Y,Y,M,Caudate
UTY,Y,M,Caudate
ZFY,Y,M,Caudate
DDX3Y,Y,M,Cerebellar_cortex
EIF1AY,Y,M,Cerebellar_cortex
NLGN4Y,Y,M,Cerebellar_cortex
RPS4Y1,Y,M,Cerebellar_cortex
USP9Y,Y,M,Cerebellar_cortex
UTY,Y,M,Cerebellar_cortex
ZFY,Y,M,Cerebellar_cortex
GCSAML,1,F,Cerebellum
HAND2,4,F,Cerebellum
FKBP9,7,F,Cerebellum
GLDC,9,F,Cerebellum
IFNE,9,F,Cerebellum
SLC26A11,17,F,Cerebellum
COMP,19,F,Cerebellum
NLRP2,19,F,Cerebellum
DDX3X,X,F,Cerebellum
EIF2S3,X,F,Cerebellum
KDM5C,X,F,Cerebellum
KDM6A,X,F,Cerebellum
MAGED4,X,F,Cerebellum
PUDP,X,F,Cerebellum
RPS4X,X,F,Cerebellum
STS,X,F,Cerebellum
TRAPPC2,X,F,Cerebellum
USP9X,X,F,Cerebellum
ZFX,X,F,Cerebellum
ZRSR2,X,F,Cerebellum
CA5B,X,F,Cerebellum
DDX3X,X,F,Cerebellum
EIF2S3,X,F,Cerebellum
KDM5C,X,F,Cerebellum
KDM6A,X,F,Cerebellum
PUDP,X,F,Cerebellum
RPS4X,X,F,Cerebellum
STS,X,F,Cerebellum
TXLNG,X,F,Cerebellum
ZFX,X,F,Cerebellum
MAP3K2,2,M,Cerebellum
CD24,6,M,Cerebellum
CD24,6,M,Cerebellum
MAL2,8,M,Cerebellum
PTPN20,10,M,Cerebellum
NXPH4,12,M,Cerebellum
SPESP1,15,M,Cerebellum
AKAP17A,X,M,Cerebellum
ASMTL,X,M,Cerebellum
CD99,X,M,Cerebellum
DHRSX,X,M,Cerebellum
GTPBP6,X,M,Cerebellum
PLCXD1,X,M,Cerebellum
PPP2R3B,X,M,Cerebellum
ZBED1,X,M,Cerebellum
HAUS7,X,M,Cerebellum
ZBED1,X,M,Cerebellum
DDX3Y,Y,M,Cerebellum
EIF1AY,Y,M,Cerebellum
HSFY2,Y,M,Cerebellum
KDM5D,Y,M,Cerebellum
NLGN4Y,Y,M,Cerebellum
PCDH11Y,Y,M,Cerebellum
RPS4Y1,Y,M,Cerebellum
RPS4Y2,Y,M,Cerebellum
TMSB4Y,Y,M,Cerebellum
USP9Y,Y,M,Cerebellum
UTY,Y,M,Cerebellum
ZFY,Y,M,Cerebellum
DDX3Y,Y,M,Cerebellum
EIF1AY,Y,M,Cerebellum
KDM5D,Y,M,Cerebellum
NLGN4Y,Y,M,Cerebellum
RPS4Y1,Y,M,Cerebellum
TMSB4Y,Y,M,Cerebellum
USP9Y,Y,M,Cerebellum
UTY,Y,M,Cerebellum
ZFY,Y,M,Cerebellum
PLCXD1,X,M,Cortex
DDX3Y,Y,M,Cortex
EIF1AY,Y,M,Cortex
KDM5D,Y,M,Cortex
NLGN4Y,Y,M,Cortex
PCDH11Y,Y,M,Cortex
RPS4Y1,Y,M,Cortex
TMSB4Y,Y,M,Cortex
USP9Y,Y,M,Cortex
UTY,Y,M,Cortex
ZFY,Y,M,Cortex
AKNAD1,1,F,Dorsolateral_prefrontal_cortex
C3orf62,3,F,Dorsolateral_prefrontal_cortex
TET2,4,F,Dorsolateral_prefrontal_cortex
KHDRBS2,6,F,Dorsolateral_prefrontal_cortex
CSMD3,8,F,Dorsolateral_prefrontal_cortex
CAPRIN2,12,F,Dorsolateral_prefrontal_cortex
ARGLU1,13,F,Dorsolateral_prefrontal_cortex
OSGEP,14,F,Dorsolateral_prefrontal_cortex
HYDIN,16,F,Dorsolateral_prefrontal_cortex
LUC7L,16,F,Dorsolateral_prefrontal_cortex
ARL17A,17,F,Dorsolateral_prefrontal_cortex
FAM106A,17,F,Dorsolateral_prefrontal_cortex
USP6,17,F,Dorsolateral_prefrontal_cortex
KIF16B,20,F,Dorsolateral_prefrontal_cortex
ZNF337,20,F,Dorsolateral_prefrontal_cortex
ZFX,X,F,Dorsolateral_prefrontal_cortex
CD53,1,M,Dorsolateral_prefrontal_cortex
CFH,1,M,Dorsolateral_prefrontal_cortex
OLFML3,1,M,Dorsolateral_prefrontal_cortex
PRRX1,1,M,Dorsolateral_prefrontal_cortex
COL3A1,2,M,Dorsolateral_prefrontal_cortex
CLDN11,3,M,Dorsolateral_prefrontal_cortex
TM4SF1,3,M,Dorsolateral_prefrontal_cortex
ZIC1,3,M,Dorsolateral_prefrontal_cortex
EDNRA,4,M,Dorsolateral_prefrontal_cortex
CSF1R,5,M,Dorsolateral_prefrontal_cortex
SEPP1,5,M,Dorsolateral_prefrontal_cortex
SPARC,5,M,Dorsolateral_prefrontal_cortex
CALD1,7,M,Dorsolateral_prefrontal_cortex
COL1A2,7,M,Dorsolateral_prefrontal_cortex
CPED1,7,M,Dorsolateral_prefrontal_cortex
PDK4,7,M,Dorsolateral_prefrontal_cortex
CEBPD,8,M,Dorsolateral_prefrontal_cortex
SDC2,8,M,Dorsolateral_prefrontal_cortex
ANXA1,9,M,Dorsolateral_prefrontal_cortex
OGN,9,M,Dorsolateral_prefrontal_cortex
PTGDS,9,M,Dorsolateral_prefrontal_cortex
ACTA2,10,M,Dorsolateral_prefrontal_cortex
TSPAN15,10,M,Dorsolateral_prefrontal_cortex
FOLR2,11,M,Dorsolateral_prefrontal_cortex
IGF2,11,M,Dorsolateral_prefrontal_cortex
LYVE1,11,M,Dorsolateral_prefrontal_cortex
ARHGDIB,12,M,Dorsolateral_prefrontal_cortex
LUM,12,M,Dorsolateral_prefrontal_cortex
ALOX5AP,13,M,Dorsolateral_prefrontal_cortex
LPAR6,13,M,Dorsolateral_prefrontal_cortex
NPC2,14,M,Dorsolateral_prefrontal_cortex
RNASE1,14,M,Dorsolateral_prefrontal_cortex
CEMIP,15,M,Dorsolateral_prefrontal_cortex
CRABP1,15,M,Dorsolateral_prefrontal_cortex
ISLR,15,M,Dorsolateral_prefrontal_cortex
COL1A1,17,M,Dorsolateral_prefrontal_cortex
LGALS3BP,17,M,Dorsolateral_prefrontal_cortex
SLC9A3R1,17,M,Dorsolateral_prefrontal_cortex
COLEC12,18,M,Dorsolateral_prefrontal_cortex
EHD2,19,M,Dorsolateral_prefrontal_cortex
TYROBP,19,M,Dorsolateral_prefrontal_cortex
LGALS1,22,M,Dorsolateral_prefrontal_cortex
BGN,X,M,Dorsolateral_prefrontal_cortex
CYBB,X,M,Dorsolateral_prefrontal_cortex
MSN,X,M,Dorsolateral_prefrontal_cortex
DDX3Y,Y,M,Dorsolateral_prefrontal_cortex
EIF1AY,Y,M,Dorsolateral_prefrontal_cortex
NLGN4Y,Y,M,Dorsolateral_prefrontal_cortex
PCDH11Y,Y,M,Dorsolateral_prefrontal_cortex
RPS4Y1,Y,M,Dorsolateral_prefrontal_cortex
USP9Y,Y,M,Dorsolateral_prefrontal_cortex
UTY,Y,M,Dorsolateral_prefrontal_cortex
ZFY,Y,M,Dorsolateral_prefrontal_cortex
DDX3Y,Y,M,EpsteinBarr_virustransformed_lymphocyte
EIF1AY,Y,M,EpsteinBarr_virustransformed_lymphocyte
KDM5D,Y,M,EpsteinBarr_virustransformed_lymphocyte
NLGN4Y,Y,M,EpsteinBarr_virustransformed_lymphocyte
RPS4Y1,Y,M,EpsteinBarr_virustransformed_lymphocyte
TMSB4Y,Y,M,EpsteinBarr_virustransformed_lymphocyte
USP9Y,Y,M,EpsteinBarr_virustransformed_lymphocyte
UTY,Y,M,EpsteinBarr_virustransformed_lymphocyte
ZFY,Y,M,EpsteinBarr_virustransformed_lymphocyte
DDX3Y,Y,M,Esophagus
EIF1AY,Y,M,Esophagus
KDM5D,Y,M,Esophagus
NLGN4Y,Y,M,Esophagus
RPS4Y1,Y,M,Esophagus
TMSB4Y,Y,M,Esophagus
USP9Y,Y,M,Esophagus
UTY,Y,M,Esophagus
ZFY,Y,M,Esophagus
HAND2,4,F,Frontal_cortex
ABCA6,17,F,Frontal_cortex
NLRP2,19,F,Frontal_cortex
DDX3X,X,F,Frontal_cortex
KDM5C,X,F,Frontal_cortex
KDM6A,X,F,Frontal_cortex
PUDP,X,F,Frontal_cortex
ZFX,X,F,Frontal_cortex
DDX3X,X,F,Frontal_cortex
EIF2S3,X,F,Frontal_cortex
KDM6A,X,F,Frontal_cortex
PUDP,X,F,Frontal_cortex
RPS4X,X,F,Frontal_cortex
ZFX,X,F,Frontal_cortex
ZRSR2,X,F,Frontal_cortex
TAX1BP1,7,M,Frontal_cortex
PTPN20,10,M,Frontal_cortex
STRN3,14,M,Frontal_cortex
SPESP1,15,M,Frontal_cortex
OPRL1,20,M,Frontal_cortex
ASMTL,X,M,Frontal_cortex
CD99,X,M,Frontal_cortex
DHRSX,X,M,Frontal_cortex
GTPBP6,X,M,Frontal_cortex
PCDH11X,X,M,Frontal_cortex
PLCXD1,X,M,Frontal_cortex
PPP2R3B,X,M,Frontal_cortex
ZBED1,X,M,Frontal_cortex
DDX3Y,Y,M,Frontal_cortex
EIF1AY,Y,M,Frontal_cortex
KDM5D,Y,M,Frontal_cortex
NLGN4Y,Y,M,Frontal_cortex
RPS4Y1,Y,M,Frontal_cortex
TMSB4Y,Y,M,Frontal_cortex
USP9Y,Y,M,Frontal_cortex
UTY,Y,M,Frontal_cortex
ZFY,Y,M,Frontal_cortex
DDX3Y,Y,M,Frontal_cortex
EIF1AY,Y,M,Frontal_cortex
HSFY2,Y,M,Frontal_cortex
KDM5D,Y,M,Frontal_cortex
NLGN4Y,Y,M,Frontal_cortex
PCDH11Y,Y,M,Frontal_cortex
RPS4Y1,Y,M,Frontal_cortex
RPS4Y2,Y,M,Frontal_cortex
TMSB4Y,Y,M,Frontal_cortex
USP9Y,Y,M,Frontal_cortex
UTY,Y,M,Frontal_cortex
ZFY,Y,M,Frontal_cortex
ZNF502,3,F,Heart
RAPGEF6,5,F,Heart
SAMD5,6,F,Heart
WRN,8,F,Heart
BMI1,10,F,Heart
JMJD1C,10,F,Heart
BTBD10,11,F,Heart
ZNF470,19,F,Heart
DOK5,20,F,Heart
STS,X,F,Heart
CA5B,X,F,Heart
SYAP1,X,F,Heart
TXLNG,X,F,Heart
EIF2S3,X,F,Heart
ZFX,X,F,Heart
DDX3X,X,F,Heart
KDM6A,X,F,Heart
KDM5C,X,F,Heart
SMC1A,X,F,Heart
CLIC2,X,F,Heart
HMGCL,1,M,Heart
NIPAL3,1,M,Heart
GSTM2,1,M,Heart
FMO5,1,M,Heart
NCSTN,1,M,Heart
NIT1,1,M,Heart
ETNK2,1,M,Heart
RNF187,1,M,Heart
KCNJ3,2,M,Heart
DNER,2,M,Heart
CACNA2D3,3,M,Heart
FHIT,3,M,Heart
SLC15A2,3,M,Heart
ILDR1,3,M,Heart
HOPX,4,M,Heart
GPX3,5,M,Heart
SLC36A2,5,M,Heart
FABP6,5,M,Heart
MDGA1,6,M,Heart
FAM83B,6,M,Heart
CD24,6,M,Heart
NPTX2,7,M,Heart
ATP6V0E2,7,M,Heart
ASTN2,9,M,Heart
PGAP2,11,M,Heart
TPP1,11,M,Heart
CSRP2,12,M,Heart
HS6ST3,13,M,Heart
ESR2,14,M,Heart
ITPKA,15,M,Heart
FRMD5,15,M,Heart
CPLX3,15,M,Heart
MPI,15,M,Heart
SV2B,15,M,Heart
ADAM11,17,M,Heart
WSCD1,17,M,Heart
PPM1E,17,M,Heart
GNAL,18,M,Heart
CLPP,19,M,Heart
ELAVL3,19,M,Heart
TMEM161A,19,M,Heart
ATP5SL,19,M,Heart
RTN2,19,M,Heart
TMEM143,19,M,Heart
ASIP,20,M,Heart
GTPBP6,X,M,Heart
ASMTL,X,M,Heart
ZBED1,X,M,Heart
CD99,X,M,Heart
FAM155B,X,M,Heart
NGFRAP1,X,M,Heart
MBNL3,X,M,Heart
RPS4Y2,Y,M,Heart
DAZ1,Y,M,Heart
DAZ2,Y,M,Heart
DDX3Y,Y,M,Heart
EIF1AY,Y,M,Heart
KDM5D,Y,M,Heart
NLGN4Y,Y,M,Heart
RPS4Y1,Y,M,Heart
TBL1Y,Y,M,Heart
TMSB4Y,Y,M,Heart
USP9Y,Y,M,Heart
UTY,Y,M,Heart
ZFY,Y,M,Heart
CCDC146,7,F,Hippocampus
CCDC85C,14,F,Hippocampus
RIBC1,X,F,Hippocampus
ZFX,X,F,Hippocampus
DDX3X,X,F,Hippocampus
KDM5C,X,F,Hippocampus
KDM6A,X,F,Hippocampus
PUDP,X,F,Hippocampus
ZFX,X,F,Hippocampus
DDX3Y,Y,M,Hippocampus
EIF1AY,Y,M,Hippocampus
NLGN4Y,Y,M,Hippocampus
PCDH11Y,Y,M,Hippocampus
RPS4Y1,Y,M,Hippocampus
USP9Y,Y,M,Hippocampus
UTY,Y,M,Hippocampus
ZFY,Y,M,Hippocampus
DDX3Y,Y,M,Hippocampus
EIF1AY,Y,M,Hippocampus
KDM5D,Y,M,Hippocampus
NLGN4Y,Y,M,Hippocampus
RPS4Y1,Y,M,Hippocampus
TMSB4Y,Y,M,Hippocampus
USP9Y,Y,M,Hippocampus
UTY,Y,M,Hippocampus
ZFY,Y,M,Hippocampus
HES5,1,F,Human_umbilical_vein_endothelial_cells
LEPR,1,F,Human_umbilical_vein_endothelial_cells
CYP1B1,2,F,Human_umbilical_vein_endothelial_cells
ELN,7,F,Human_umbilical_vein_endothelial_cells
IGFBP3,7,F,Human_umbilical_vein_endothelial_cells
FBP2,9,F,Human_umbilical_vein_endothelial_cells
HSD17B3,9,F,Human_umbilical_vein_endothelial_cells
ADIRF,10,F,Human_umbilical_vein_endothelial_cells
AFAP1L2,10,F,Human_umbilical_vein_endothelial_cells
AS3MT,10,F,Human_umbilical_vein_endothelial_cells
KNDC1,10,F,Human_umbilical_vein_endothelial_cells
CLMP,11,F,Human_umbilical_vein_endothelial_cells
GTSF1,12,F,Human_umbilical_vein_endothelial_cells
MUC19,12,F,Human_umbilical_vein_endothelial_cells
IRS2,13,F,Human_umbilical_vein_endothelial_cells
INSR,19,F,Human_umbilical_vein_endothelial_cells
GATA5,20,F,Human_umbilical_vein_endothelial_cells
APOBEC3G,22,F,Human_umbilical_vein_endothelial_cells
APOL3,22,F,Human_umbilical_vein_endothelial_cells
APOL6,22,F,Human_umbilical_vein_endothelial_cells
ARHGAP6,X,F,Human_umbilical_vein_endothelial_cells
ARSD,X,F,Human_umbilical_vein_endothelial_cells
BEX2,X,F,Human_umbilical_vein_endothelial_cells
BTK,X,F,Human_umbilical_vein_endothelial_cells
CA5B,X,F,Human_umbilical_vein_endothelial_cells
CHRDL1,X,F,Human_umbilical_vein_endothelial_cells
CYBB,X,F,Human_umbilical_vein_endothelial_cells
EIF1AX,X,F,Human_umbilical_vein_endothelial_cells
IL1RAPL1,X,F,Human_umbilical_vein_endothelial_cells
KDM6A,X,F,Human_umbilical_vein_endothelial_cells
KLF8,X,F,Human_umbilical_vein_endothelial_cells
OTC,X,F,Human_umbilical_vein_endothelial_cells
PRKX,X,F,Human_umbilical_vein_endothelial_cells
RGN,X,F,Human_umbilical_vein_endothelial_cells
RPS6KA6,X,F,Human_umbilical_vein_endothelial_cells
TXLNG,X,F,Human_umbilical_vein_endothelial_cells
XG,X,F,Human_umbilical_vein_endothelial_cells
ZDHHC15,X,F,Human_umbilical_vein_endothelial_cells
ZFX,X,F,Human_umbilical_vein_endothelial_cells
ZMAT1,X,F,Human_umbilical_vein_endothelial_cells
TDGF1,3,M,Human_umbilical_vein_endothelial_cells
ALAS2,X,M,Human_umbilical_vein_endothelial_cells
AWAT1,X,M,Human_umbilical_vein_endothelial_cells
DDX3Y,Y,M,Human_umbilical_vein_endothelial_cells
KDM5D,Y,M,Human_umbilical_vein_endothelial_cells
NLGN4Y,Y,M,Human_umbilical_vein_endothelial_cells
RBMY1A1,Y,M,Human_umbilical_vein_endothelial_cells
RPS4Y1,Y,M,Human_umbilical_vein_endothelial_cells
RPS4Y2,Y,M,Human_umbilical_vein_endothelial_cells
USP9Y,Y,M,Human_umbilical_vein_endothelial_cells
UTY,Y,M,Human_umbilical_vein_endothelial_cells
VCY,Y,M,Human_umbilical_vein_endothelial_cells
ZFY,Y,M,Human_umbilical_vein_endothelial_cells
RSPO1,1,M,Hypothalamus
DDX3Y,Y,M,Hypothalamus
KDM5D,Y,M,Hypothalamus
NLGN4Y,Y,M,Hypothalamus
RPS4Y1,Y,M,Hypothalamus
USP9Y,Y,M,Hypothalamus
DDX3Y,Y,M,Hypothalamus
EIF1AY,Y,M,Hypothalamus
KDM5D,Y,M,Hypothalamus
NLGN4Y,Y,M,Hypothalamus
PCDH11Y,Y,M,Hypothalamus
RPS4Y1,Y,M,Hypothalamus
TBL1Y,Y,M,Hypothalamus
TMSB4Y,Y,M,Hypothalamus
USP9Y,Y,M,Hypothalamus
UTY,Y,M,Hypothalamus
ZFY,Y,M,Hypothalamus
OLFML3,1,M,Inferior_temporal_cortex
COL1A2,7,M,Inferior_temporal_cortex
SDC2,8,M,Inferior_temporal_cortex
FZD8,10,M,Inferior_temporal_cortex
COLEC12,18,M,Inferior_temporal_cortex
DDX3Y,Y,M,Inferior_temporal_cortex
EIF1AY,Y,M,Inferior_temporal_cortex
NLGN4Y,Y,M,Inferior_temporal_cortex
PCDH11Y,Y,M,Inferior_temporal_cortex
RPS4Y1,Y,M,Inferior_temporal_cortex
USP9Y,Y,M,Inferior_temporal_cortex
UTY,Y,M,Inferior_temporal_cortex
ZFY,Y,M,Inferior_temporal_cortex
DDX3Y,Y,M,Lung
EIF1AY,Y,M,Lung
KDM5D,Y,M,Lung
NLGN4Y,Y,M,Lung
PCDH11Y,Y,M,Lung
RPS4Y1,Y,M,Lung
TBL1Y,Y,M,Lung
TMSB4Y,Y,M,Lung
USP9Y,Y,M,Lung
UTY,Y,M,Lung
ZFY,Y,M,Lung
S100A10,1,F,Medial_prefrontal_cortex
C3orf62,3,F,Medial_prefrontal_cortex
NR3C2,4,F,Medial_prefrontal_cortex
ZNF793,19,F,Medial_prefrontal_cortex
PCSK2,20,F,Medial_prefrontal_cortex
ZFX,X,F,Medial_prefrontal_cortex
MFAP2,1,M,Medial_prefrontal_cortex
OLFML3,1,M,Medial_prefrontal_cortex
COL3A1,2,M,Medial_prefrontal_cortex
NEUROG2,4,M,Medial_prefrontal_cortex
IQGAP2,5,M,Medial_prefrontal_cortex
LIFR,5,M,Medial_prefrontal_cortex
MEGF10,5,M,Medial_prefrontal_cortex
SNCAIP,5,M,Medial_prefrontal_cortex
EZR,6,M,Medial_prefrontal_cortex
HIST1H1A,6,M,Medial_prefrontal_cortex
HIST1H2BB,6,M,Medial_prefrontal_cortex
HIST1H2BC,6,M,Medial_prefrontal_cortex
HIST1H2BK,6,M,Medial_prefrontal_cortex
HIST1H3F,6,M,Medial_prefrontal_cortex
HIST1H4A,6,M,Medial_prefrontal_cortex
HIST1H4B,6,M,Medial_prefrontal_cortex
HIST1H4C,6,M,Medial_prefrontal_cortex
HIST1H4D,6,M,Medial_prefrontal_cortex
HIST1H4F,6,M,Medial_prefrontal_cortex
COL1A2,7,M,Medial_prefrontal_cortex
EEPD1,7,M,Medial_prefrontal_cortex
FZD8,10,M,Medial_prefrontal_cortex
ITPRIP,10,M,Medial_prefrontal_cortex
VIM,10,M,Medial_prefrontal_cortex
H2AFX,11,M,Medial_prefrontal_cortex
LYVE1,11,M,Medial_prefrontal_cortex
PARVA,11,M,Medial_prefrontal_cortex
RCOR2,11,M,Medial_prefrontal_cortex
SERPINH1,11,M,Medial_prefrontal_cortex
ASCL1,12,M,Medial_prefrontal_cortex
LUM,12,M,Medial_prefrontal_cortex
PARP4,13,M,Medial_prefrontal_cortex
EMP2,16,M,Medial_prefrontal_cortex
ZNF423,16,M,Medial_prefrontal_cortex
COL1A1,17,M,Medial_prefrontal_cortex
SLC9A3R1,17,M,Medial_prefrontal_cortex
COLEC12,18,M,Medial_prefrontal_cortex
JAG1,20,M,Medial_prefrontal_cortex
PREX1,20,M,Medial_prefrontal_cortex
MSN,X,M,Medial_prefrontal_cortex
TSPAN6,X,M,Medial_prefrontal_cortex
DDX3Y,Y,M,Medial_prefrontal_cortex
EIF1AY,Y,M,Medial_prefrontal_cortex
NLGN4Y,Y,M,Medial_prefrontal_cortex
PCDH11Y,Y,M,Medial_prefrontal_cortex
RPS4Y1,Y,M,Medial_prefrontal_cortex
TMSB4Y,Y,M,Medial_prefrontal_cortex
USP9Y,Y,M,Medial_prefrontal_cortex
UTY,Y,M,Medial_prefrontal_cortex
ZFY,Y,M,Medial_prefrontal_cortex
KCNIP4,4,M,Mediodorsal_nucleus_thalamus
SERPINB9,6,M,Mediodorsal_nucleus_thalamus
BAMBI,10,M,Mediodorsal_nucleus_thalamus
DDX3Y,Y,M,Mediodorsal_nucleus_thalamus
EIF1AY,Y,M,Mediodorsal_nucleus_thalamus
NLGN4Y,Y,M,Mediodorsal_nucleus_thalamus
PCDH11Y,Y,M,Mediodorsal_nucleus_thalamus
RPS4Y1,Y,M,Mediodorsal_nucleus_thalamus
TMSB4Y,Y,M,Mediodorsal_nucleus_thalamus
USP9Y,Y,M,Mediodorsal_nucleus_thalamus
UTY,Y,M,Mediodorsal_nucleus_thalamus
ZFY,Y,M,Mediodorsal_nucleus_thalamus
DDX3X,X,F,Medulla
EIF2S3,X,F,Medulla
KDM5C,X,F,Medulla
PNPLA4,X,F,Medulla
ZFX,X,F,Medulla
ZRSR2,X,F,Medulla
DDX3Y,Y,M,Medulla
EIF1AY,Y,M,Medulla
KDM5D,Y,M,Medulla
NLGN4Y,Y,M,Medulla
RPS4Y1,Y,M,Medulla
TMSB4Y,Y,M,Medulla
USP9Y,Y,M,Medulla
