,Species,Gene,Chromosome,HREloc,GeneDirection,GeneStart,GeneStop,Distance,Proxy,HRE_direct,HRE,Info
51,Homo_sapiens,SFPQ,1,35197990,-,35193174,35176380,4816,Up,slp3r,slp3,"ID=gene-SFPQ;Dbxref=GeneID:6421,HGNC:HGNC:10774,MIM:605199;Name=SFPQ;description=splicing factor proline and glutamine rich;gbkey=Gene;gene=SFPQ;gene_biotype=protein_coding;gene_synonym=POMP100,PPP1R140,PSF"
52,Homo_sapiens,SFPQ,1,35199857,-,35193174,35176380,6683,Up,slp3r,slp3,"ID=gene-SFPQ;Dbxref=GeneID:6421,HGNC:HGNC:10774,MIM:605199;Name=SFPQ;description=splicing factor proline and glutamine rich;gbkey=Gene;gene=SFPQ;gene_biotype=protein_coding;gene_synonym=POMP100,PPP1R140,PSF"
53,Homo_sapiens,KIAA0319L,1,35569026,-,35557603,35433490,11423,Up,slp2f,slp2,"ID=gene-KIAA0319L;Dbxref=GeneID:79932,HGNC:HGNC:30071,MIM:613535;Name=KIAA0319L;description=KIAA0319 like;gbkey=Gene;gene=KIAA0319L;gene_biotype=protein_coding;gene_synonym=AAVR,AAVRL"
38,Homo_sapiens,NCDN,1,35569026,+,35557799,35566779,2247,Down,slp2f,slp2,"ID=gene-NCDN;Dbxref=GeneID:23154,HGNC:HGNC:17597,MIM:608458;Name=NCDN;description=neurochondrin;gbkey=Gene;gene=NCDN;gene_biotype=protein_coding;gene_synonym=NEDIES"
39,Homo_sapiens,MANEAL,1,37811103,+,37793816,37801133,9970,Down,aare,aare,"ID=gene-MANEAL;Dbxref=GeneID:149175,HGNC:HGNC:26452;Name=MANEAL;description=mannosidase endo-alpha like;gbkey=Gene;gene=MANEAL;gene_biotype=protein_coding"
54,Homo_sapiens,YRDC,1,37811103,-,37808208,37802945,2895,Up,aare,aare,"ID=gene-YRDC;Dbxref=GeneID:79693,HGNC:HGNC:28905,MIM:612276;Name=YRDC;description=yrdC N6-threonylcarbamoyltransferase domain containing;gbkey=Gene;gene=YRDC;gene_biotype=protein_coding;gene_synonym=DRIP3,GAMOS10,IRIP,SUA5"
8,Homo_sapiens,MFSD2A,1,39944787,+,39955145,39969956,10358,Up,csref,csre,"ID=gene-MFSD2A;Dbxref=GeneID:84879,HGNC:HGNC:25897,MIM:614397;Name=MFSD2A;description=major facilitator superfamily domain containing 2A;gbkey=Gene;gene=MFSD2A;gene_biotype=protein_coding;gene_synonym=MCPH15,MFSD2,NEDMISBA,NLS1,SLC59A1"
9,Homo_sapiens,RLF,1,40145618,+,40161387,40240921,15769,Up,aare,aare,"ID=gene-RLF;Dbxref=GeneID:6018,HGNC:HGNC:10025,MIM:180610;Name=RLF;description=RLF zinc finger;gbkey=Gene;gene=RLF;gene_biotype=protein_coding;gene_synonym=ZN-15L,ZNF292L"
55,Homo_sapiens,SCMH1,1,41260334,-,41242306,41027202,18028,Up,hk2r,hk2,"ID=gene-SCMH1;Dbxref=GeneID:22955,HGNC:HGNC:19003,MIM:616396;Name=SCMH1;description=Scm polycomb group protein homolog 1;gbkey=Gene;gene=SCMH1;gene_biotype=protein_coding;gene_synonym=Scml3"
40,Homo_sapiens,DMAP1,1,44228752,+,44213471,44220673,8079,Down,slp2r,slp2,"ID=gene-DMAP1;Dbxref=GeneID:55929,HGNC:HGNC:18291,MIM:605077;Name=DMAP1;description=DNA methyltransferase 1 associated protein 1;gbkey=Gene;gene=DMAP1;gene_biotype=protein_coding;gene_synonym=DNMAP1,DNMTAP1,EAF2,MEAF2,SWC4"
30,Homo_sapiens,EIF2B3,1,44846446,-,44986641,44850522,4076,Down,slp3r,slp3,"ID=gene-EIF2B3;Dbxref=GeneID:8891,HGNC:HGNC:3259,MIM:606273;Name=EIF2B3;description=eukaryotic translation initiation factor 2B subunit gamma;gbkey=Gene;gene=EIF2B3;gene_biotype=protein_coding;gene_synonym=EIF-2B,EIF2Bgamma"
41,Homo_sapiens,OSBPL9,1,51793185,+,51617084,51789219,3966,Down,hk2f,hk2,"ID=gene-OSBPL9;Dbxref=GeneID:114883,HGNC:HGNC:16386,MIM:606737;Name=OSBPL9;description=oxysterol binding protein like 9;gbkey=Gene;gene=OSBPL9;gene_biotype=protein_coding;gene_synonym=ORP-9,ORP9"
56,Homo_sapiens,GLIS1,1,53754402,-,53739171,53506237,15231,Up,ccnd1f,ccnd1,"ID=gene-GLIS1;Dbxref=GeneID:148979,HGNC:HGNC:29525,MIM:610378;Name=GLIS1;description=GLIS family zinc finger 1;gbkey=Gene;gene=GLIS1;gene_biotype=protein_coding"
42,Homo_sapiens,DIO1,1,53912113,+,53894187,53911086,1027,Down,hklkr,hklk,"ID=gene-DIO1;Dbxref=GeneID:1733,HGNC:HGNC:2883,MIM:147892;Name=DIO1;description=iodothyronine deiodinase 1;gbkey=Gene;gene=DIO1;gene_biotype=protein_coding;gene_synonym=5DI,TXDI1"
57,Homo_sapiens,ITGB3BP,1,63550331,-,63529395,63440770,20936,Up,pb2f,pb2,"ID=gene-ITGB3BP;Dbxref=GeneID:23421,HGNC:HGNC:6157,MIM:605494;Name=ITGB3BP;description=integrin subunit beta 3 binding protein;gbkey=Gene;gene=ITGB3BP;gene_biotype=protein_coding;gene_synonym=CENP-R,CENPR,HSU37139,NRIF3,TAP20"
31,Homo_sapiens,JAK1,1,64829915,-,65067746,64833229,3314,Down,ccnd1r,ccnd1,"ID=gene-JAK1;Dbxref=GeneID:3716,HGNC:HGNC:6190,MIM:147795;Name=JAK1;description=Janus kinase 1;gbkey=Gene;gene=JAK1;gene_biotype=protein_coding;gene_synonym=AIIDE,JAK1A,JAK1B,JTK3"
10,Homo_sapiens,SAMD13,1,84275671,+,84298538,84350798,22867,Up,care,care,"ID=gene-SAMD13;Dbxref=GeneID:148418,HGNC:HGNC:24582;Name=SAMD13;description=sterile alpha motif domain containing 13;gbkey=Gene;gene=SAMD13;gene_biotype=protein_coding;gene_synonym=HSD-41,HSD-42"
58,Homo_sapiens,CTBS,1,84598918,-,84574440,84549611,24478,Up,sc12r,sc12,"ID=gene-CTBS;Dbxref=GeneID:1486,HGNC:HGNC:2496,MIM:600873;Name=CTBS;description=chitobiase;gbkey=Gene;gene=CTBS;gene_biotype=protein_coding;gene_synonym=CTB"
32,Homo_sapiens,MCOLN2,1,84918275,-,84997113,84925583,7308,Down,slp2f,slp2,"ID=gene-MCOLN2;Dbxref=GeneID:255231,HGNC:HGNC:13357,MIM:607399;Name=MCOLN2;description=mucolipin TRP cation channel 2;gbkey=Gene;gene=MCOLN2;gene_biotype=protein_coding;gene_synonym=TRP-ML2,TRPML2"
59,Homo_sapiens,FRRS1,1,99786146,-,99766635,99703970,19511,Up,ccnd1f,ccnd1,"ID=gene-FRRS1;Dbxref=GeneID:391059,HGNC:HGNC:27622,MIM:611578;Name=FRRS1;description=ferric chelate reductase 1;gbkey=Gene;gene=FRRS1;gene_biotype=protein_coding;gene_synonym=SDFR2,SDR2"
60,Homo_sapiens,EXTL2,1,100902191,-,100895411,100872372,6780,Up,care,care,"ID=gene-EXTL2;Dbxref=GeneID:2135,HGNC:HGNC:3516,MIM:602411;Name=EXTL2;description=exostosin like glycosyltransferase 2;gbkey=Gene;gene=EXTL2;gene_biotype=protein_coding;gene_synonym=EXTR2"
61,Homo_sapiens,SLC25A24,1,108201968,-,108200343,108134043,1625,Up,slp3f,slp3,"ID=gene-SLC25A24;Dbxref=GeneID:29957,HGNC:HGNC:20662,MIM:608744;Name=SLC25A24;description=solute carrier family 25 member 24;gbkey=Gene;gene=SLC25A24;gene_biotype=protein_coding;gene_synonym=APC1,SCAMC-1,SCAMC1"
11,Homo_sapiens,GPSM2,1,108852153,+,108875350,108934545,23197,Up,slp2f,slp2,"ID=gene-GPSM2;Dbxref=GeneID:29899,HGNC:HGNC:29501,MIM:609245;Name=GPSM2;description=G protein signaling modulator 2;gbkey=Gene;gene=GPSM2;gene_biotype=protein_coding;gene_synonym=CMCS,DFNB82,LGN,PINS"
12,Homo_sapiens,ATXN7L2,1,109468609,+,109483905,109492804,15296,Up,sc12r,sc12,"ID=gene-ATXN7L2;Dbxref=GeneID:127002,HGNC:HGNC:28713;Name=ATXN7L2;description=ataxin 7 like 2;gbkey=Gene;gene=ATXN7L2;gene_biotype=protein_coding"
43,Homo_sapiens,GNAI3,1,109606374,+,109548615,109600195,6179,Down,pem2f,pem2,"ID=gene-GNAI3;Dbxref=GeneID:2773,HGNC:HGNC:4387,MIM:139370;Name=GNAI3;description=G protein subunit alpha i3;gbkey=Gene;gene=GNAI3;gene_biotype=protein_coding;gene_synonym=87U6,ARCND1,HG1A"
13,Homo_sapiens,AMPD2,1,109606374,+,109619837,109632055,13463,Up,pem2f,pem2,"ID=gene-AMPD2;Dbxref=GeneID:271,HGNC:HGNC:469,MIM:102771;Name=AMPD2;description=adenosine monophosphate deaminase 2;gbkey=Gene;gene=AMPD2;gene_biotype=protein_coding;gene_synonym=PCH9,SPG63"
14,Homo_sapiens,RBM15,1,110321795,+,110339377,110346677,17582,Up,psa3r,psa3,"ID=gene-RBM15;Dbxref=GeneID:64783,HGNC:HGNC:14959,MIM:606077;Name=RBM15;description=RNA binding motif protein 15;gbkey=Gene;gene=RBM15;gene_biotype=protein_coding;gene_synonym=OTT,OTT1,SPEN"
15,Homo_sapiens,VANGL1,1,115638818,+,115641970,115698221,3152,Up,asrer,asre,"ID=gene-VANGL1;Dbxref=GeneID:81839,HGNC:HGNC:15512,MIM:610132;Name=VANGL1;description=VANGL planar cell polarity protein 1;gbkey=Gene;gene=VANGL1;gene_biotype=protein_coding;gene_synonym=KITENIN,LPP2,STB2,STBM2"
44,Homo_sapiens,PSMB4,1,151405641,+,151399573,151401937,3704,Down,pem1r,pem1,"ID=gene-PSMB4;Dbxref=GeneID:5692,HGNC:HGNC:9541,MIM:602177;Name=PSMB4;description=proteasome 20S subunit beta 4;gbkey=Gene;gene=PSMB4;gene_biotype=protein_coding;gene_synonym=HN3,HsN3,PRAAS3,PROS-26,PROS26"
16,Homo_sapiens,CGN,1,151506349,+,151510858,151538692,4509,Up,mvdpr,mvdp,"ID=gene-CGN;Dbxref=GeneID:57530,HGNC:HGNC:17429,MIM:609473;Name=CGN;description=cingulin;gbkey=Gene;gene=CGN;gene_biotype=protein_coding"
45,Homo_sapiens,CGN,1,151541636,+,151510858,151538692,2944,Down,slp2f,slp2,"ID=gene-CGN;Dbxref=GeneID:57530,HGNC:HGNC:17429,MIM:609473;Name=CGN;description=cingulin;gbkey=Gene;gene=CGN;gene_biotype=protein_coding"
17,Homo_sapiens,SLC27A3,1,153752187,+,153775407,153780157,23220,Up,asrer,asre,"ID=gene-SLC27A3;Dbxref=GeneID:11000,HGNC:HGNC:10997,MIM:604193;Name=SLC27A3;description=solute carrier family 27 member 3;gbkey=Gene;gene=SLC27A3;gene_biotype=protein_coding;gene_synonym=ACSVL3,FATP3,VLCS-3"
18,Homo_sapiens,CHRNB2,1,154555824,+,154567778,154584708,11954,Up,csrer,csre,"ID=gene-CHRNB2;Dbxref=GeneID:1141,HGNC:HGNC:1962,MIM:118507;Name=CHRNB2;description=cholinergic receptor nicotinic beta 2 subunit;gbkey=Gene;gene=CHRNB2;gene_biotype=protein_coding;gene_synonym=EFNL3,nAChRB2"
62,Homo_sapiens,GLMP,1,156316942,-,156295689,156292688,21253,Up,pem2f,pem2,"ID=gene-GLMP;Dbxref=GeneID:112770,HGNC:HGNC:29436;Name=GLMP;description=glycosylated lysosomal membrane protein;gbkey=Gene;gene=GLMP;gene_biotype=protein_coding;gene_synonym=C1orf85,NCU-G1"
19,Homo_sapiens,PEA15,1,160202114,+,160205384,160215376,3270,Up,psa1f,psa1,"ID=gene-PEA15;Dbxref=GeneID:8682,HGNC:HGNC:8822,MIM:603434;Name=PEA15;description=proliferation and apoptosis adaptor protein 15;gbkey=Gene;gene=PEA15;gene_biotype=protein_coding;gene_synonym=HMAT1,HUMMAT1H,MAT1,MAT1H,PEA-15,PED,PED-PEA15,PED/PEA15"
63,Homo_sapiens,B4GALT3,1,161187589,-,161185007,161171310,2582,Up,ccnd1r,ccnd1,"ID=gene-B4GALT3;Dbxref=GeneID:8703,HGNC:HGNC:926,MIM:604014;Name=B4GALT3;description=beta-1%2C4-galactosyltransferase 3;gbkey=Gene;gene=B4GALT3;gene_biotype=protein_coding;gene_synonym=beta4Gal-T3"
64,Homo_sapiens,B4GALT3,1,161190631,-,161185007,161171310,5624,Up,csrer,csre,"ID=gene-B4GALT3;Dbxref=GeneID:8703,HGNC:HGNC:926,MIM:604014;Name=B4GALT3;description=beta-1%2C4-galactosyltransferase 3;gbkey=Gene;gene=B4GALT3;gene_biotype=protein_coding;gene_synonym=beta4Gal-T3"
46,Homo_sapiens,PPOX,1,161187589,+,161165824,161178277,9312,Down,ccnd1r,ccnd1,"ID=gene-PPOX;Dbxref=GeneID:5498,HGNC:HGNC:9280,MIM:600923;Name=PPOX;description=protoporphyrinogen oxidase;gbkey=Gene;gene=PPOX;gene_biotype=protein_coding;gene_synonym=PPO,V290M,VP"
20,Homo_sapiens,NDUFS2,1,161187589,+,161197417,161214395,9828,Up,ccnd1r,ccnd1,"ID=gene-NDUFS2;Dbxref=GeneID:4720,HGNC:HGNC:7708,MIM:602985;Name=NDUFS2;description=NADH:ubiquinone oxidoreductase core subunit S2;gbkey=Gene;gene=NDUFS2;gene_biotype=protein_coding;gene_synonym=CI-49,MC1DN6"
22,Homo_sapiens,NDUFS2,1,161190631,+,161197417,161214395,6786,Up,csrer,csre,"ID=gene-NDUFS2;Dbxref=GeneID:4720,HGNC:HGNC:7708,MIM:602985;Name=NDUFS2;description=NADH:ubiquinone oxidoreductase core subunit S2;gbkey=Gene;gene=NDUFS2;gene_biotype=protein_coding;gene_synonym=CI-49,MC1DN6"
21,Homo_sapiens,FCER1G,1,161190631,+,161215295,161219245,24664,Up,csrer,csre,"ID=gene-FCER1G;Dbxref=GeneID:2207,HGNC:HGNC:3611,MIM:147139;Name=FCER1G;description=Fc epsilon receptor Ig;gbkey=Gene;gene=FCER1G;gene_biotype=protein_coding;gene_synonym=FCRG"
65,Homo_sapiens,CFAP126,1,161383018,-,161367876,161364733,15142,Up,ccnd1r,ccnd1,"ID=gene-CFAP126;Dbxref=GeneID:257177,HGNC:HGNC:32325,MIM:616119;Name=CFAP126;description=cilia and flagella associated protein 126;gbkey=Gene;gene=CFAP126;gene_biotype=protein_coding;gene_synonym=C1orf192,Flattop,Fltp"
66,Homo_sapiens,OLFML2B,1,162027996,-,162023869,161983192,4127,Up,slp3f,slp3,"ID=gene-OLFML2B;Dbxref=GeneID:25903,HGNC:HGNC:24558;Name=OLFML2B;description=olfactomedin like 2B;gbkey=Gene;gene=OLFML2B;gene_biotype=protein_coding"
23,Homo_sapiens,RCSD1,1,167617591,+,167630232,167708696,12641,Up,aare,aare,"ID=gene-RCSD1;Dbxref=GeneID:92241,HGNC:HGNC:28310,MIM:610579;Name=RCSD1;description=RCSD domain containing 1;gbkey=Gene;gene=RCSD1;gene_biotype=protein_coding;gene_synonym=CAPZIP,MK2S4"
67,Homo_sapiens,SLC19A2,1,169508997,-,169485970,169463909,23027,Up,slp3r,slp3,"ID=gene-SLC19A2;Dbxref=GeneID:10560,HGNC:HGNC:10938,MIM:603941;Name=SLC19A2;description=solute carrier family 19 member 2;gbkey=Gene;gene=SLC19A2;gene_biotype=protein_coding;gene_synonym=TC1,THMD1,THT1,THTR1,TRMA"
68,Homo_sapiens,RC3H1,1,174037843,-,174022357,173931084,15486,Up,slp3r,slp3,"ID=gene-RC3H1;Dbxref=GeneID:149041,HGNC:HGNC:29434,MIM:609424;Name=RC3H1;description=ring finger and CCCH-type domains 1;gbkey=Gene;gene=RC3H1;gene_biotype=protein_coding;gene_synonym=FHL6,IMDSHY,RNF198,ROQUIN"
69,Homo_sapiens,NPHS2,1,179586154,-,179575987,179550539,10167,Up,aare,aare,"ID=gene-NPHS2;Dbxref=GeneID:7827,HGNC:HGNC:13394,MIM:604766;Name=NPHS2;description=NPHS2 stomatin family member%2C podocin;gbkey=Gene;gene=NPHS2;gene_biotype=protein_coding;gene_synonym=PDCN,SRN1"
24,Homo_sapiens,TDRD5,1,179586154,+,179591613,179691272,5459,Up,aare,aare,"ID=gene-TDRD5;Dbxref=GeneID:163589,HGNC:HGNC:20614,MIM:617748;Name=TDRD5;description=tudor domain containing 5;gbkey=Gene;gene=TDRD5;gene_biotype=protein_coding;gene_synonym=TUDOR3"
25,Homo_sapiens,XPR1,1,180631165,+,180632022,180890279,857,Up,hklkf,hklk,"ID=gene-XPR1;Dbxref=GeneID:9213,HGNC:HGNC:12827,MIM:605237;Name=XPR1;description=xenotropic and polytropic retrovirus receptor 1;gbkey=Gene;gene=XPR1;gene_biotype=protein_coding;gene_synonym=IBGC6,SLC53A1,SYG1,X3"
47,Homo_sapiens,LAMC2,1,183250554,+,183186264,183245127,5427,Down,slp3f,slp3,"ID=gene-LAMC2;Dbxref=GeneID:3918,HGNC:HGNC:6493,MIM:150292;Name=LAMC2;description=laminin subunit gamma 2;gbkey=Gene;gene=LAMC2;gene_biotype=protein_coding;gene_synonym=B2T,BM600,CSF,EBR2,EBR2A,LAMB2T,LAMNB2"
33,Homo_sapiens,ASPM,1,197076071,-,197146669,197084127,8056,Down,hk2r,hk2,"ID=gene-ASPM;Dbxref=GeneID:259266,HGNC:HGNC:19048,MIM:605481;Name=ASPM;description=assembly factor for spindle microtubules;gbkey=Gene;gene=ASPM;gene_biotype=protein_coding;gene_synonym=ASP,Calmbp1,MCPH5"
34,Homo_sapiens,TNNT2,1,201355630,-,201377828,201359014,3384,Down,asref,asre,"ID=gene-TNNT2;Dbxref=GeneID:7139,HGNC:HGNC:11949,MIM:191045;Name=TNNT2;description=troponin T2%2C cardiac type;gbkey=Gene;gene=TNNT2;gene_biotype=protein_coding;gene_synonym=CMD1D,CMH2,CMPD2,cTnT,LVNC6,RCM3,TnTC"
70,Homo_sapiens,LMOD1,1,201950126,-,201946548,201896456,3578,Up,hklkr,hklk,"ID=gene-LMOD1;Dbxref=GeneID:25802,HGNC:HGNC:6647,MIM:602715;Name=LMOD1;description=leiomodin 1;gbkey=Gene;gene=LMOD1;gene_biotype=protein_coding;gene_synonym=1D,64kD,D1,MMIHS3,SM-LMOD,SMLMOD"
26,Homo_sapiens,TIMM17A,1,201950126,+,201955503,201970664,5377,Up,hklkr,hklk,"ID=gene-TIMM17A;Dbxref=GeneID:10440,HGNC:HGNC:17315,MIM:605057;Name=TIMM17A;description=translocase of inner mitochondrial membrane 17A;gbkey=Gene;gene=TIMM17A;gene_biotype=protein_coding;gene_synonym=TIM17,TIM17A"
71,Homo_sapiens,ARL8A,1,202147340,-,202144737,202133404,2603,Up,psa1r,psa1,"ID=gene-ARL8A;Dbxref=GeneID:127829,HGNC:HGNC:25192,MIM:616597;Name=ARL8A;description=ADP ribosylation factor like GTPase 8A;gbkey=Gene;gene=ARL8A;gene_biotype=protein_coding;gene_synonym=ARL10B,GIE2"
72,Homo_sapiens,PTPN7,1,202181815,-,202161588,202147012,20227,Up,slp2r,slp2,"ID=gene-PTPN7;Dbxref=GeneID:5778,HGNC:HGNC:9659,MIM:176889;Name=PTPN7;description=protein tyrosine phosphatase non-receptor type 7;gbkey=Gene;gene=PTPN7;gene_biotype=protein_coding;gene_synonym=BPTP-4,HEPTP,LC-PTP,LPTP,PTPNI"
73,Homo_sapiens,KDM5B,1,202825628,-,202809470,202724495,16158,Up,ccnd1f,ccnd1,"ID=gene-KDM5B;Dbxref=GeneID:10765,HGNC:HGNC:18039,MIM:605393;Name=KDM5B;description=lysine demethylase 5B;gbkey=Gene;gene=KDM5B;gene_biotype=protein_coding;gene_synonym=CT31,JARID1B,MRT65,PLU-1,PLU1,PPP1R98,PUT1,RBBP2H1A,RBP2-H1"
27,Homo_sapiens,CNTN2,1,205041498,+,205042937,205078289,1439,Up,sc12r,sc12,"ID=gene-CNTN2;Dbxref=GeneID:6900,HGNC:HGNC:2172,MIM:190197;Name=CNTN2;description=contactin 2;gbkey=Gene;gene=CNTN2;gene_biotype=protein_coding;gene_synonym=AXT,FAME5,TAG-1,TAX,TAX1"
74,Homo_sapiens,CTSE,1,206030183,-,206023899,206009264,6284,Up,mvdpf,mvdp,"ID=gene-CTSE;Dbxref=GeneID:1510,HGNC:HGNC:2530,MIM:116890;Name=CTSE;description=cathepsin E;gbkey=Gene;gene=CTSE;gene_biotype=protein_coding;gene_synonym=CATE"
75,Homo_sapiens,PIGR,1,206949775,-,206946466,206928522,3309,Up,sc12f,sc12,"ID=gene-PIGR;Dbxref=GeneID:5284,HGNC:HGNC:8968,MIM:173880;Name=PIGR;description=polymeric immunoglobulin receptor;gbkey=Gene;gene=PIGR;gene_biotype=protein_coding"
35,Homo_sapiens,FCAMR,1,206949775,-,206970657,206957955,8180,Down,sc12f,sc12,"ID=gene-FCAMR;Dbxref=GeneID:83953,HGNC:HGNC:24692,MIM:605484;Name=FCAMR;description=Fc alpha and mu receptor;gbkey=Gene;gene=FCAMR;gene_biotype=protein_coding;gene_synonym=CD351,FCA/MR,Fcalpha/muR,FKSG87"
76,Homo_sapiens,CD34,1,207931790,-,207911125,207880972,20665,Up,pem2f,pem2,"ID=gene-CD34;Dbxref=GeneID:947,HGNC:HGNC:1662,MIM:142230;Name=CD34;description=CD34 molecule;gbkey=Gene;gene=CD34;gene_biotype=protein_coding"
77,Homo_sapiens,NEK2,1,211682056,-,211675621,211658256,6435,Up,sc12f,sc12,"ID=gene-NEK2;Dbxref=GeneID:4751,HGNC:HGNC:7745,MIM:604043;Name=NEK2;description=NIMA related kinase 2;gbkey=Gene;gene=NEK2;gene_biotype=protein_coding;gene_synonym=HsPK21,NEK2A,NLK1,PPP1R111,RP67"
78,Homo_sapiens,ESRRG,1,217156939,-,217137702,216503246,19237,Up,psa3r,psa3,"ID=gene-ESRRG;Dbxref=GeneID:2104,HGNC:HGNC:3474,MIM:602969;Name=ESRRG;description=estrogen related receptor gamma;gbkey=Gene;gene=ESRRG;gene_biotype=protein_coding;gene_synonym=ERR-gamma,ERR3,ERRg,ERRgamma,NR3B3"
36,Homo_sapiens,PLD5,1,242075459,-,242530546,242082986,7527,Down,slp3f,slp3,"ID=gene-PLD5;Dbxref=GeneID:200150,HGNC:HGNC:26879;Name=PLD5;description=phospholipase D family member 5;gbkey=Gene;gene=PLD5;gene_biotype=protein_coding;gene_synonym=PLDC"
79,Homo_sapiens,HNRNPU,1,244881453,-,244864543,244850297,16910,Up,mvdpr,mvdp,"ID=gene-HNRNPU;Dbxref=GeneID:3192,HGNC:HGNC:5048,MIM:602869;Name=HNRNPU;description=heterogeneous nuclear ribonucleoprotein U;gbkey=Gene;gene=HNRNPU;gene_biotype=protein_coding;gene_synonym=DEE54,EIEE54,GRIP120,hnRNP U,HNRNPU-AS1,HNRPU,pp120,SAF-A,SAFA,U21.1"
28,Homo_sapiens,SCCPDH,1,246702865,+,246724409,246768137,21544,Up,psa3f,psa3,"ID=gene-SCCPDH;Dbxref=GeneID:51097,HGNC:HGNC:24275;Name=SCCPDH;description=saccharopine dehydrogenase (putative);gbkey=Gene;gene=SCCPDH;gene_biotype=protein_coding;gene_synonym=CGI-49,NET11"
